,,The client demands changes to the product specification that will add only two weeks to the critical path. Which of the following is the BEST thing for the project manager to do?,,Integration,Scenario,Consult with the sponsor about options.,Compress the schedule to recover the two weeks.,Cut scope to recover the two weeks.,Advise the client of the impact of the change.,,,"Do you remember what to do when there is a change? Evaluate first. You wouldn’t take action before getting approval, so compressing the schedule or cutting scope would happen after consulting the sponsor and/or advising the client of the impact of the change. You would not go to the customer before going to your internal management, so advising the client is not the correct thing to do next. The next step is to discuss options with the sponsor.",projectmanagementquestion.wordpress.com
,,"If your team is selected following the development of the budget, schedule and human resource plan are completed, who estimates activities and work packages?",,Integration,Process,The WBS is completed by a preliminary team,The WBS is developed by the PM,The WBS is completed after the team is selected,The WBS is completed prior to the team selection so is estimated by SMEs,,,,UtilMentors
,,A work authorization system can be used to:,,Integration,Tool/Technique,Manage when and in what sequence work is done.,Manage who does each activity.,Manage when each activity is done.,Manage who does each activity and when it is done.,,,Who does each activity is managed with the responsibility assignment matrix. When each activity is done is managed with the project schedule. A work authorization system is used to coordinate when and in what order the work is performed so that work and people may properly interface with other work and other people.,projectmanagementquestion.wordpress.com
,,You are taking over a project during project planning and discover that six individuals have signed the project charter. Which of the following should MOST concern you?,,Integration,Scenario,Spending more time on configuration management,Who will be a member of the change control board,Getting a single project sponsor,Determining the reporting structure,,,"Determining who will be on the change control board and determining the reporting structure may have already been done. In any case, these choices are not directly impacted by the number of sponsors who have signed the charter. Having a single project sponsor is not necessary. This situation implies that there are six areas concerned with this project. In addition to added communications requirements, you should be concerned with competing needs and requirements impacting your efforts on configuration management.",projectmanagementquestion.wordpress.com
,,Effective project integration usually requires an emphasis on:,,Integration,Process,Effective communication at key interface points.,The personal careers of the team members.,Timely updates to the project management plan.,Product control.,,,"This question is asking for the most important of the choices. Think about what is involved in integration: project management plan development, project management plan execution, and integrated change control. Updates and product control are parts of project monitoring and controlling, while integration includes more than control. Advancing the careers of team members falls under project executing (the Develop Project Team process). In order to integrate the project components into a cohesive whole, communication is key whenever one activity will interface with another or one team member will interface with another, and when any other form of interfacing will occur.",projectmanagementquestion.wordpress.com
,,Which of the following need to be considered when a project manager receives a change request?,,Integration,Process,The impact of the change in terms of constraints,The benefit/cost ratio of the change,The phase the project is in at the time of the request,The specific stakeholder requesting the change,,,,UtilMentors
,,"You have a team member who added a work package without documenting it. When asked, the team member said ""it took no time and cost nothing"". What is the best to do?",,Integration,Process,Ask how he knew it took no time and cost nothing,Tell him to remove the work package,Document the change and accept it,"Document the change, ask the sponsor if it should stay and make a notation in the team member's personnel record.",,,,UtilMentors
,,The best definition of a PM's role as an integrator?,,Integration,Process,Put all facets of a project into a cohesive whole,Develop and manage the Integration Management Plan,"Decompose the project into milestones, work packages and activities",Develop team members into a cohesive team,,,,UtilMentors
,,Which of the following describes the BEST use of historical records from previous projects?,,Integration,Process,"Estimating, risk management, and project planning","Estimating, life cycle costing, and project planning","Risk management, estimating, and creating lessons learned","Project planning, estimating, and creating a status report",,,"Historical records are not generally used for life cycle costing, lessons learned, or creating status reports. They are useful in estimating, risk management, and overall project planning.",projectmanagementquestion.wordpress.com
,,The project manager has just received a change from the customer that does not affect the project schedule and is easy to complete. What should the project manager do FIRST?,,Integration,Process,Evaluate the impacts on other project constraints.,Make the change happen as soon as possible.,Contact the project sponsor for permission.,Go to the change control board.,,,"The other impacts to the project should be evaluated first. Such impacts include scope, cost, quality, risk, resources, and customer satisfaction. Once these are evaluated, the change control board, if one exists, can approve or deny the change.",projectmanagementquestion.wordpress.com
,,"You are replacing a PM in executing. The project is within the budget and schedule, but the outgoing PM warns you that it is on target ONLY because of his constant harassing the team members to work harder. What should the new PM do?",,Integration,Process,Meet with the team and tell them your expectations,Determine your management strategy,Communicate your expectations at the beginning,Reevaluate the WBS Dictionary to determine if anything needs to be re-estimated.,,,,UtilMentors
,,Which of the following BEST describes the project manager’s role as an integrator?,,Integration,Process,Put all the pieces of a project into a cohesive whole.,Help team members become familiar with the project.,Put all the pieces of a project into a program.,Get all team members together into a cohesive whole.,,,"Integration refers to combining activities, not team members.",projectmanagementquestion.wordpress.com
,,"You have created the project charter, but could not get it approved. Your manager and his boss have asked that the project begin immediately. Which of the following is the BEST thing to do?",,Integration,Scenario,Show your manager the impact of proceeding without approval.,Set up an integrated change control process.,Focus on completing projects that have signed project charters.,Start work on only the critical path activities.,,,The best thing to do would be to show the impact. This is the only choice that prevents future problems—always the best choice. The other choices just pretend the problem does not exist.,projectmanagementquestion.wordpress.com
,,"Your company just won a major new project. It will begin in three months and is valued at US $2,000,000. You are the project manager for an existing project. What is the FIRST thing you should do once you hear of the new project?",,Integration,Scenario,Ask management how the new project will affect your project.,Ask management how the new project will use resources.,Resource level your project.,Crash your project.,,,"You do not have enough information to consider resource leveling or crashing this project. As you work on any project, you need to constantly reevaluate the project objectives and how the project relates to other concurrent projects. Is your project still in line with corporate objectives? If the other project will impact yours, you need to be proactive and work on options now.",projectmanagementquestion.wordpress.com
,,"You have been assigned to manage the development of an organizations first Web site. The site will be highly complex and interactive, and neither your project team nor the client has much experience with Web site development.
The timeline is extremely aggressive. Any delay will be costly for both your firm and the client. You have a project sponsor and have achieved agreement and sign-off on both the project charter and the project management plan. Client personnel have been kept fully informed of the project’s progress through status reports and regular meetings. The project is on schedule and within budget, and a final perfunctory review has been scheduled.
Suddenly you hear that the entire effort may be cancelled because the product developed is totally unacceptable. What is the MOST likely cause of this situation?",,Integration,Scenario,A key stakeholder was not adequately involved in the project.,The project charter and project management plan were not thoroughly explained or adequately reviewed by the client.,Communications arrangements were inadequate and did not provide the required information to interested parties.,The project sponsor failed to provide adequate support for the project.,,,"A single high-level executive can end an entire project if he or she is not satisfied with the results, even if that person has, by choice, been only tangentially involved in the project.  It is critical to ensure that all of the final decision makers have been identified early in a project in order to ensure that their concerns are addressed.",projectmanagementquestion.wordpress.com
,,Which is true regarding a project charter?,,Integration,Process,The PM develops the project charter and the sponsor approves it,The sponsor develops the project charter with the PMO,The sponsor develops the project charter for selection purposes then hires the PM,The team develops the project charter,,,,UtilMentors
,,Which of the following BEST describes a project management plan?,,Integration,Process,"Risk, staffing, process improvement, and other management plans",A printout from project management software,A bar chart,The project scope,,,The project management plan contains more than just a bar chart and the project manager’s plan for completing the work. It includes all the management plans for the project.,projectmanagementquestion.wordpress.com
,,Which of the following best describes an improvement process for a PMO?,,Integration,Tool/Technique,Establish a process to capture and access past project information,Establish a panel of approved people to be used as experts,Establish a project rating system,Establish standardized processes for projects,,,,UtilMentors
,,You are in the middle of executing a major modification to an existing product when you learn that the resources promised at the beginning of the project are not available. The BEST thing to do is to:,,Integration,Scenario,Explain the impact if the promised resources are not made available.,Show how the resources were originally promised to your project.,Replan the project without the resources.,Crash the project.,,,"Crashing and re-planning are essentially delaying the situation. Instead, the project manager should try to prevent the situation by showing the consequences if the resources are not available. This is a more effective strategy than saying, “But you gave them to me.”",projectmanagementquestion.wordpress.com
,,Constraints include?,,Integration,,"Cost, schedule, customer expectations, risk, resources, scope, quality","Cost, time and scope",Any issue that must be considered when evaluating project activities,Risks identified on the project charter,,,,UtilMentors
,,"The project was going well when all of a sudden there were changes to the project coming from multiple stakeholders. After all the changes were determined, the project manager spent time with all the stakeholders to find out why there were changes and to discover any more. The project work has quieted down when a team member casually mentions to the project manager that he added functionality to a product of the project. “Do not worry,” he says, “I did not impact time, cost, or quality!” What should the project manager do FIRST?",,Integration,,"Ask the team member how he knows there is no time, cost, or quality impact.",Ask the team member how the need for the functionality was determined.,Hold a meeting to review the team member’s completed work.,Look for other added functionality.,,,"Notice that the first paragraph is extraneous. Also notice that the question states that the change has already been made. The project manager’s actions would be different if the change had not been made. It is the project manager’s job to investigate impacts, as the project manager is the only one who can tell how a change impacts the project as a whole. Asking the team member how he knows there is no impact on time, cost, or quality is the best answer. This begins the project manager’s analysis of the impacts to the project as a whole by finding out what analysis has already been done. He can then determine how he must finalize the analysis as it applies to the entire project.",projectmanagementquestion.wordpress.com
,,Which of the following is TRUE about the development of a project charter?,,Integration,,"The project manager creates the project charter, and the sponsor approves it.","The sponsor creates the project charter, and the project manager approves it.","The project team creates the project charter, and the PMO approves it.","The executive manager creates the project charter, and the functional manager approves it.",,,"The project manager creates the project charter, but it is approved and authorized by the project sponsor, giving the project manager authority to proceed with the project.",projectmanagementquestion.wordpress.com
,,A project management plan should be realistic in order to be used to manage the project. Which of the following is the BEST method to achieve a realistic project management plan?,,Integration,,The project manager creates the project management plan based on input from the team.,The sponsor creates the project management plan based on input from the project manager.,The functional manager creates the project management plan based on input from the project manager.,The project manager creates the project management plan based on input from senior management.,,,"If we were to rephrase the question, it is asking, “Who creates the project management plan?” The best answer is that the project management plan is created by the project manager but requires input from the team.",projectmanagementquestion.wordpress.com
,,"A project manager is appointed to head a highly technical project in an area with which this person has limited familiarity. The project manager delegates the processes of Develop Schedule, Estimate Costs, Define Activities, and Estimate Activity Resources to various project team members, and basically serves as an occasional referee and coordinator of activities. The results of this approach are likely to be:",,Integration,,"A team that is characterized by poor performance, low morale, high levels of conflict, and high turnover.","A team functioning throughout the project at a very high level, demonstrating creativity and commitment.","A team that initially experiences some amounts of confusion, but that after a period of time becomes a cohesive and effective unit.","A team that is not highly productive, but that stays together because of the work environment created by the project manager.",,,"A project manager must manage a project. If all activities are delegated, chaos ensues and team members will spend more time jockeying for position than completing activities.",projectmanagementquestion.wordpress.com
,,"This project is chartered to determine new ways to extend the product life of one of the company’s medium-producing products. The project manager comes from the engineering department, and the team comes from the product management and marketing departments.
The project scope statement and project planning are completed when a stakeholder notifies the team that there is a better way to complete one of the work packages. The stakeholder supplies a technical review letter from his department proving that the new way to complete the work package will actually be faster than the old way.
The project manager has had similar experiences with this department on other projects, and was expecting this to happen on this project. What is the FIRST thing the project manager should do?
",,Integration,,Look for how this change will impact the cost to complete the work package and the quality of the product of the work package.,Contact the department and complain again about their missing the deadline for submission of scope.,See if there is a way to change from a matrix organization to a functional organization so as to eliminate all the interference from other departments.,Ask the department if they have any other changes.,,,"Complaining about the missed deadline could be done, but it is not proactive. It would be helpful to get to the root cause of why this department always comes up with such ideas or changes after the project begins. However, this is not the immediate problem; the change is the immediate problem, and therefore complaining is not best. The type of project organization described is a matrix organization. There is not anything inherently wrong with such an organization, nor is there anything in this particular situation that would require it to be changed, so changing way the company is organized cannot be best. The department’s history indicates that asking if the department has other changes is something that should definitely be done, but the proposed change needs more immediate attention. Looking at impacts of the change begins integrated change control.",projectmanagementquestion.wordpress.com
,,"A project manager has managed four projects for the company and is being considered to join the project management office team. The following is discovered during the evaluation of his performance. The project managers first project had an ending cost variance of-500, used two critical resources, needed to rework the project charter during project executing, and was ranked 14th in priority within the company. The second project finished with a schedule variance of+100, was completed with a vastly compressed schedule, and received a letter of recommendation from the sponsor, but the product of the project was not used. The third project had 23 percent more changes than expected, had an SPI of 0.90, and 25 open items in the issue log when the project was completed. Each of these projects had a cost budget of $10,000 and 20 to 28 percent more changes than others of its size. The project management office decided not to add this project manager to the team. Which of the following BEST describes why this might have happened?",,Integration,,"The project manager did not effectively involve the stakeholders, showing that he does not have the knowledge to work in the project management office.","The project manager has only managed low-priority projects, and he had to compress the schedule, showing that he does not have the skill to work in the project management office.","Issue logs should not be used on projects of this size, showing that the project manager does not have the knowledge to work in the project management office.","The project manager had two critical resources on his team and still needed to rework the project charter, showing that he does not have the discipline to work in the project management office.",,,"This is a very confusing question. Did you notice all the distracters that may or may not be relevant? Most project schedules are compressed by the project manager during project planning, so that is not a logical reason and cannot be the best choice. Issue logs can be used on smaller projects, which means the project managers use of issue logs is not the best choice. The number of critical (or hard-to-get) resources noted has no bearing on the need to rework the project charter. Therefore, that cannot be the best choice. Take another look at the second and third projects. In the second project, the product of the project was not used. This implies many things, including the possibilities that either the project manager did not identify the requirements of all the stakeholders or that the business need for the project changed dramatically and the project manager did not notice. This indicates a major flaw in the project managers abilities. In the third project, there were 25 concerns of the stakeholders that were not addressed before the project was completed. Again, this shows a major lack of project management knowledge. The needs of the stakeholders and not just the sponsor must be taken into account on all projects. This makes the project managers failure to effectively involve the stakeholders the best choice.",projectmanagementquestion.wordpress.com
,,"It is the middle of the project when the project manager is informed by her scheduler that the project control limits are secure. That same morning, she receives a note from a team member about a problem he is having. The note says, “This activity is driving me crazy, and the manager of the accounting department won’t help me until the activity’s float is in jeopardy.” In addition, the project manager has e-mails from a minor stakeholder and 14 e-mails from team members. While she is reading the e-mails, a team member walks into the project manager’s office to tell her a corrective action was implemented by a team member from the project management office, but was not documented. What should the project manager do NEXT?",,Integration,,"Add the implemented corrective action to the historical records, discuss the value of documentation at the next team meeting, and smooth the team member with the accounting department problem.","Report the documentation violation to the project management office, evaluate the security of the control limits, and review the e-mailing rules in the communications management plan.","Clarify the reasoning behind documentation being a problem, get the accounting department to assist the team member, and respond to the minor stakeholder.","Find out who caused the problem with the accounting department, respond to the minor stakeholder before responding to the other e-mails, and review the process listed in the communications management plan for reporting concerns with the team member having the documentation problem.",,,"Notice how many situations are thrown at you in this question. It is important to practice reading through questions to discover what is important and what is just background information. In this question, the only thing relevant was the corrective action taken. Once you discover what the primary issue is, look at the choices to find out which is best for addressing that issue. What is the primary issue here? Did you realize the team member s note is about a noncritical path activity? (“Until the project float is in jeopardy” means there is float and, thus, it is not on the critical path.) So is the issue the noncritical path activity or the documentation? You might disagree with the logic, but in this case the answer is the documentation. In the real world, problems often repeat. Without a record of what was done, there is no opportunity to consider the same solution for future problems. Documentation is critical to projects. Because documentation becomes part of the historical records database, it is best to first record the corrective action taken, then discuss the value of documentation at the next team meeting, and smooth the team member with the accounting department problem.",projectmanagementquestion.wordpress.com
,,You must purchase equipment for your project but the accounting department informed you she needs a unilateral form of contract. To which is she referring?,,Procurement,,PO,Invoice,Legally binding contract,SOW,,,,UtilMentors
,,"In a fixed price (FP) contract, the fee or profit is:",,Procurement,,Unknown.,Part of the negotiation involved in paying every invoice.,Applied as a line item to every invoice.,Determined with the other party at the end of the project.,,,"Explanation The fee or profit is known to the seller, but this question is asked from the buyer’s perspective. The buyer does not know what profit the seller included in the contract.",projectmanagementquestion.wordpress.com
,,Which contract type requires the seller to assume the risk of cost overruns?,,Procurement,,Lump-sum,Cost plus fixed fee,Time and Materials,a. Cost plus incentive fee,,,,UtilMentors
,,Which document serves as a risk mitigation tool?,,Procurement,,Contract,RFP,RFB,Vendor proposal,,,,UtilMentors
,,"You are in the middle of a complex negotiation when the other party says, “We need to finish in one hour because I have to catch my plane.” That person is using which of the following negotiation strategies?",,Procurement,,Deadline,Extreme demands,"Good guy, bad guy",Delay,,,Explanation Putting a time limit on the negotiation is an example of a deadline negotiation strategy.,projectmanagementquestion.wordpress.com
,,"With a clear procurement statement of work, a seller completes work as specified, but the buyer is not pleased with the results. The contract is considered to be:",,Procurement,,Complete.,Waived.,Null and void.,Incomplete.,,,"Explanation If the seller completes the work specified in the procurement statement of work, the contract is considered complete. That does not mean the same thing as the procurement being closed. The Close Procurements process must still occur. However, in this situation, the contract work is completed.",projectmanagementquestion.wordpress.com
,,You are considering proposals and contracts for a portion of the project work. Which contract is the least dangerous to your organization?,,Procurement,,Fixed fee,Cost plus fixed fee,Cost plus incentive fee,Cost plus percentage of cost,,,,UtilMentors
,,"Your company has an emergency and needs contracted work done as soon as possible. Under these circumstances, which of the following would be the MOST helpful to add to the contract?",,Procurement,,Incentives,A force majeure clause,A clear procurement statement of work,Requirements as to which subcontractors can be used,,,"Explanation If you follow the proper project management process, you ALWAYS have good definition of scope. In this situation, you are in a time crunch. Both good scope definition and incentives are required to make it happen. Which provides the better answer? Along with good scope definition, you need the seller to share your need for speed. Incentives bring the sellers objectives in line with the buyer’s and thus would be the MOST helpful. Good scope definition alone does not ensure speed.",projectmanagementquestion.wordpress.com
,,Who should receive the procurement document package?,,Procurement,,Each seller,Project sponsor,Client,Legal department,,,,UtilMentors
,,With which type of contract is the seller MOST concerned about project scope?,,Procurement,,Fixed price,Cost plus fixed fee,Time and material,Purchase order,,,"Explanation In a fixed price contract, the seller has the cost risk and therefore wants to completely understand the procurement statement of work before bidding.",projectmanagementquestion.wordpress.com
,,A project manager is in the middle of creating a request for proposal (RFP). What part of the procurement process is he in?,,Procurement,,Plan Procurements,Administer Procurements,Make-or-Buy Analysis,Conduct Procurements,,,"Explanation The procurement documents are created during the Plan Procurements process. The request for proposal is one of those documents, so the project manager is in the Plan Procurements process.",projectmanagementquestion.wordpress.com
,,The project team seems to like to argue; they have argued about everything. Luckily the project manager set in place a reward system and team-building sessions that will help and encourage the team to cooperate more. The latest thing they are arguing about is whether they should complete a work package themselves or outsource the work to someone else. What part of the procurement process must they be in?,,Procurement,,Plan Procurements,Administer Procurements,Claims Administration,Conduct Procurements,,,"Explanation Did you notice that much of this question is irrelevant? Did you also notice that the words “make-or-buy decision” were not used in the question? Instead, the question used the definition of make-or-buy. Watch out for this on the exam. A make-or-buy decision is needed before the rest of the procurement process can occur. Therefore, the situation must be taking place in one of the early steps of the procurement process. Plan Procurements is the correct choice.",projectmanagementquestion.wordpress.com
,,"As the PM of a project, you hire an independent contractor for a portion of the work. The contractor is billing the project $150 per hour plus materials. This is an example of?:",,Procurement,,Time and materials,Cost plus fixed fee,Fixed fee,Cost plus incentive fee,,,,UtilMentors
,,"As part of the records management system, you are trying to make sure all records from the procurement are documented and indexed. Which of the following do you NOT have to worry about?",,Procurement,,Negotiation process,Proposal,Procurement statement of work,Terms and conditions,,,"Explanation To answer this question, you need to know what a records management system is and that it would not be used to keep track of negotiations. The negotiation process is not a document. The proposal, procurement statement of work, and the contract terms and conditions are all records that need to be documented and indexed.",projectmanagementquestion.wordpress.com
,,The PM needs help with a bid for her newest project. You want to protect the company from financial risk and have limited scope definition. Which contract type should you choose?,,Procurement,,Cost plus fixed fee,Cost plus incentive fee,Time and materials,Fixed Price,,,,UtilMentors
,,The sponsor and the project manager are discussing what type of contract the project manager plans to use on the project. The sponsor points out that the performing organization spent a lot of money hiring a design team to come up with the design. The project manager is concerned that the risk for the buyer be as small as possible. An advantage of a fixed price contract for the buyer is:,,Procurement,,Cost risk is lower.,Cost risk is higher.,There is little risk.,Risk is shared by all parties.,,,"Explanation If you had trouble with this one, you need to remember that the questions are asked from the buyer’s perspective unless otherwise noted. The seller has the most cost risk in a fixed price contract, and the buyer’s risk is lower.",projectmanagementquestion.wordpress.com
,,Which of the following is an advantage of centralized contracting?,,Procurement,,Increased expertise,Easier access,No home for the procurement manager,More loyalty to the project,,,"Explanation Centralized contracting usually means it is more difficult to get access to the procurement manager, and the procurement manager has less loyalty to the project. The fact that the procurement manager has no home when he or she is not working on a project is a disadvantage of decentralized contracting. Increased expertise of the procurement manager is an advantage of centralized contracting.",projectmanagementquestion.wordpress.com
,,Bidder conferences is part of?,,Procurement,,Conduct procurements,Administer procurements,Communications management,Plan procurements,,,,UtilMentors
,,During what part of the procurement process does procurement negotiation occur?,,Procurement,,Conduct Procurements,Plan Procurements,Close Procurements,Administer Procurements,,,Explanation Negotiation occurs during the Conduct Procurements process.,projectmanagementquestion.wordpress.com
,,The project team is arguing about the prospective sellers who have submitted proposals. One team member argues for a certain seller while another team member wants the project awarded to a different seller. What part of the procurement process is the team in?,,Procurement,,Conduct Procurements,Plan Procurements,Administer Procurements,Negotiate Contracts,,,Explanation Selected sellers are an output of the Conduct Procurements process.,projectmanagementquestion.wordpress.com
,,"When all PMs in an organization are required to document the performance quality ratings, delivery performance and the contractual compliance of all vendors they interact with, this is known as?",,Procurement,,Seller rating system,An incentive contract,Procurement selection,A requirement,,,,UtilMentors
,,Which of the following activities occurs during the Plan Procurements process?,,Procurement,,Make-or-buy decisions,Answering sellers’ questions about the bid documents,Advertising,Proposal evaluation,,,"Explanation Answering sellers’ questions, advertising, and proposal evaluation occur during the Conduct Procurements process. Make-or-buy decisions are made earlier, in the Plan Procurements process.",projectmanagementquestion.wordpress.com
,,A project performed in a cost reimbursable contract has entered the Close Procurements process. What must the buyer remember to do?,,Procurement,,Audit cost submittals,Decrease the project risk rating,Evaluate the fee being paid,Ensure the seller is not adding resources,,,,UtilMentors
,,Bidder conferences are part of:,,Procurement,,Conduct Procurements.,Communications Management.,Plan Procurements.,Administer Procurements.,,,Explanation Expect questions on the exam that require you to know in what part of the procurement process activities are done.,projectmanagementquestion.wordpress.com
,,Each of the following are required for an enforceable contract except?,,Procurement,,Address of the seller,SOW,Buyer signatures,Acceptance,,,,UtilMentors
,,"A seller wins a contract to build a cellular tower. The contract terms and conditions require a work plan for the buyer's approval prior to beginning the work, but the seller fails to provide one. What should happen next?",,Procurement,,Issue a default letter,Issue a stop work order until the work plan is prepared,File a letter of intent,Take steps to terminate a breeched contract,,,,UtilMentors
,,A project manager for the seller is told by her management that the project should do whatever possible to be awarded incentive money. The primary objective of incentive clauses in a contract is to:,,Procurement,,Synchronize objectives.,Reduce risk for the seller by shifting risk to the buyer.,Reduce costs for the buyer.,Help the seller control costs.,,,"Explanation Incentives are meant to bring the objectives of the seller in line with those of the buyer, so both are progressing toward the same objective.",projectmanagementquestion.wordpress.com
,,"A seller is awarded a contract to build a pipeline. The contract terms and conditions require a work plan to be issued for the buyer’s approval prior to commencing work, but the seller fails to provide one. Which of the following is the BEST thing for the buyer’s project manager to do?",,Procurement,,Issue a default letter.,Issue a stop work order to the seller until a work plan is prepared.,File a letter of intent.,Develop the work plan and issue it to the seller to move things along.,,,"Explanation Any time a seller does not perform according to the contract, the project manager must take action. The preferred choice might be to contact the seller and ask what is going on, but that choice is not available here. Therefore, the best choice is to let the seller know they are in default.",projectmanagementquestion.wordpress.com
,,The primary objective of contract negotiations is to:,,Procurement,,Protect the relationship.,Get the highest monetary return.,Define objectives and stick to them.,Get the most from the other side.,,,"Explanation As a project manager, you want to develop a good relationship during negotiations that will last throughout the project.",projectmanagementquestion.wordpress.com
,,All of the following MUST be present to have a contract EXCEPT:,,Procurement,,The address of the seller.,Buyers’ signatures.,A procurement statement of work.,Acceptance.,,,"Explanation Many people miss the fact that a contract includes a procurement statement of work. To have a contract, you must also have acceptance. One set of signatures is not enough; you must have sign-off (i.e., acceptance) from both parties, not just from the buyer. The address of the seller is not required, and therefore is the exception.",projectmanagementquestion.wordpress.com
,,The project team is arguing about the prospective sellers who have submitted proposals. One team member argues for a certain seller while another team member wants the project to be awarded to a different seller. The BEST thing the project manager should remind the team to focus on in order to make a selection is the:,,Procurement,,Source selection criteria.,Procurement management plan.,Procurement documents.,Procurement audits.,,,Explanation The source selection criteria is the primary tool for evaluating potential sellers and should be used by the team in order to make a selection.,projectmanagementquestion.wordpress.com
,,What type of contract do you NOT want to use if you do not have enough labor to audit invoices?,,Procurement,,Cost plus fixed fee (CPFF),Time & material (T&M),Fixed price (FP),Fixed price incentive fee (FPIF),,,"Explanation If you got this question wrong, reread it. You need to audit invoices in all contract types, so how do you choose? Look for the answer that is BEST. In this case, it would be the choice that requires the greatest effort. A T&M contract should be used for low dollar and short duration contracts (remember that a T&M contract has no incentive to finish), so it does not have a high level of risk. FP and FPIF contracts cannot be best, because the risk to the buyer is limited. The buyer is still only going to pay the contracted price. In a CPFF contract, the buyer pays all costs. The seller could be charging the buyer for costs that should not be allocated to the buyer. Because of the size and dollar amount of this type of contract, and because the risk to the buyer is great, a CPFF contract requires the most auditing. In this case, you would not want to use a CPFF contract.",projectmanagementquestion.wordpress.com
,,"Your program manager has come to you, the project manager, for help with a bid for her newest project. You want to protect your company from financial risk, and you have limited scope definition. What is the BEST type of contract to choose?",,Procurement,,Cost plus fixed fee (CPFF),Fixed price (FP),Cost plus percentage of cost (CPPC),Time and material (T&M),,,"Explanation Of the options given, the only contract that limits fees for large projects with limited scope definition is cost plus fixed fee.",projectmanagementquestion.wordpress.com
,,"The sponsor is concerned that the seller may be deriving extra profits on a cost plus fixed fee contract. Each month he requires the PM to submit CPI calculations and an analysis of the cost to complete. The PM explains that extra profits should not be a worry, because?",,Procurement,,All costs are being audited,The fee is only received when the project is complete,There can be a maximum 12% increase if there are cost overruns,The team is ensuring scope is not cut,,,,UtilMentors
,,"A contract between a buyer and a seller includes a clause that penalizes the seller monetarily if the project is late. Thus, the penalty should be enforced or waived based upon which of the following?:",,Procurement,,Who caused the delay and why,Whether the delay was from unknown risk,Whether the PM should have anticipated the risk,Whether the PM knew the delay was likely,,,,UtilMentors
,,A project performed under a cost reimbursable contract has finally entered the Close Procurements process. What MUST the buyer remember to do?,,Procurement,,Audit seller’s cost submittals.,Evaluate the fee she is paying.,Make sure the seller is not adding resources.,Decrease the risk rating of the project.,,,"Explanation Although a reserve might be decreased for the project overall when one of its procurements enters closure, the risk rating of the project is generally not affected. Evaluation of the fee should have been done during the Conduct Procurements process. Making sure the seller does not add resources may be a concern during the Administer Procurements process, but it is not common during Close Procurements. Auditing the sellers cost submittals is part of the procurement audit and is a required aspect of the Close Procurements process.",projectmanagementquestion.wordpress.com
,,"A routine audit of a cost reimbursable (CR) contract determines that overcharges are being made. If the contract does not specify corrective action, the buyer should:",,Procurement,,Continue to make project payments.,Halt payments until the problem is corrected.,Void the contract and start legal action to recover overpayments.,Change the contract to require more frequent audits.,,,"Explanation Halting all payments would be a breach of contract on the buyer’s part. Voiding the contract and beginning legal action is too severe and cannot be done unilaterally. Changing the contract to require more frequent audits does not solve the problem presented. A choice that said, “Halt payments on the disputed amount” would probably be the best answer, but it is not offered. The best choice available is to continue to make the payments.",projectmanagementquestion.wordpress.com
,,A seller is working on a cost reimbursable (CR) contract when the buyer decides he would like to expand the scope of services and change to a fixed price (FP) contract. All of the following are the seller’s options EXCEPT:,,Procurement,,Starting over with a new contract.,Completing the original work on a cost reimbursable basis and then negotiating a fixed price for the additional work.,Completing the original work and rejecting the additional work.,Negotiating a fixed price contract that includes the work.,,,"Explanation The seller can try to negotiate change or simply continue the original contract and refuse requests to complete additional work, but the seller cannot unilaterally decide to start over with a new contract. Both parties have to agree to this option through negotiations.",projectmanagementquestion.wordpress.com
,,"The project manager and project sponsor are discussing the project costs and whether it is better to have their own company do part of the project or hire another company to do the work. If they asked for your opinion, you might say it would be better to do the work yourself if:",,Procurement,,There is a lot of proprietary data.,You have the expertise but you do not have the available manpower.,You do not need control over the work.,Your company resources are limited.,,,Explanation It is generally better to do the work yourself if using an outside company means you have to turn over proprietary data to the other company.,projectmanagementquestion.wordpress.com
,,What is one of the KEY objectives during contract negotiations?,,Procurement,,Obtain a fair and reasonable price.,Negotiate a price under the seller’s estimate.,Ensure that all project risks are thoroughly delineated.,Ensure that an effective communications management plan is established.,,,"Explanation Thorough risk identification and an effective communications management plan are good ideas, but not key objectives of contract negotiation. Negotiations should be win/win, so negotiating a price below the seller’s estimate is not the b est choice. A fair and equitable price will help to create a good working atmosphere. Otherwise, you will pay later, through change orders.",projectmanagementquestion.wordpress.com
,,"Your project has just been fast tracked and you are looking to quickly bring in a subcontractor to complete networking. There is no time to issue a request for proposal (RFP), so you choose to use a company you have used many times before for software development. A PRIMARY concern in this situation is:",,Procurement,,The subcontractor’s qualifications.,The subcontractor’s evaluation criteria.,Holding a bidder conference.,Collusion between subcontractors.,,,"Explanation Although you have used this contractor before, how can you be sure the company is qualified to do the new work, since it is not exactly like the previous work? This is the risk you are taking.",projectmanagementquestion.wordpress.com
